Translation time: 2.96 seconds, sign hello
Translation time: 0.01 seconds, sign hello
Translation time: 0.02 seconds, sign hello
Translation time: 0.00 seconds, sign hello
Translation time: 4.21 seconds, sign please
Translation time: 0.01 seconds, sign please
Translation time: 0.02 seconds, sign please
Translation time: 0.01 seconds, sign please
Translation time: 3.95 seconds, sign thanks
Translation time: 0.01 seconds, sign thanks
Translation time: 0.01 seconds, sign thanks
Translation time: 3.08 seconds, sign receipt
Translation time: 0.01 seconds, sign receipt
Translation time: 0.01 seconds, sign receipt
Translation time: 0.01 seconds, sign receipt
Translation time: 2.63 seconds, sign more
Translation time: 0.01 seconds, sign more
Translation time: 0.01 seconds, sign more
Translation time: 0.01 seconds, sign more
Translation time: 0.01 seconds, sign more
Translation time: 3.36 seconds, sign price
Translation time: 0.01 seconds, sign price
Translation time: 0.01 seconds, sign price
Translation time: 0.01 seconds, sign price
Translation time: 0.01 seconds, sign price
Translation time: 3.21 seconds, sign bathroom
Translation time: 0.01 seconds, sign bathroom
Translation time: 0.01 seconds, sign bathroom
Translation time: 0.00 seconds, sign bathroom
Translation time: 0.00 seconds, sign bathroom
Translation time: 0.00 seconds, sign bathroom
Translation time: 1.94 seconds, sign refund
Translation time: 0.01 seconds, sign refund
Translation time: 0.01 seconds, sign refund
Translation time: 0.01 seconds, sign refund
Translation time: 0.01 seconds, sign refund
Translation time: 3.21 seconds, sign g
Translation time: 2.21 seconds, sign bag
Translation time: 0.01 seconds, sign bag
Translation time: 0.01 seconds, sign bag
Translation time: 0.00 seconds, sign bag
Translation time: 0.01 seconds, sign bag
Translation time: 9.63 seconds, sign water
Translation time: 3.97 seconds, sign 0
Translation time: 0.01 seconds, sign 0
Translation time: 0.02 seconds, sign 0
Translation time: 0.01 seconds, sign 0
Translation time: 3.21 seconds, sign 1
Translation time: 0.01 seconds, sign 1
Translation time: 0.02 seconds, sign 1
Translation time: 0.01 seconds, sign 1
Translation time: 7.22 seconds, sign 2
Translation time: 0.01 seconds, sign 2
Translation time: 0.02 seconds, sign 2
Translation time: 0.01 seconds, sign 2
Translation time: 3.57 seconds, sign 3
Translation time: 0.01 seconds, sign 3
Translation time: 0.01 seconds, sign 3
Translation time: 0.00 seconds, sign 3
Translation time: 7.58 seconds, sign 4
Translation time: 0.01 seconds, sign 4
Translation time: 0.01 seconds, sign 4
Translation time: 0.01 seconds, sign 4
Translation time: 4.28 seconds, sign 5
Translation time: 0.01 seconds, sign 5
Translation time: 0.01 seconds, sign 5
Translation time: 0.01 seconds, sign 5
Translation time: 4.37 seconds, sign (6W)
Translation time: 0.01 seconds, sign (6W)
Translation time: 0.01 seconds, sign (6W)
Translation time: 0.01 seconds, sign (6W)
Translation time: 3.75 seconds, sign 7
Translation time: 0.01 seconds, sign 7
Translation time: 0.01 seconds, sign 7
Translation time: 0.00 seconds, sign 7
Translation time: 3.50 seconds, sign 8
Translation time: 0.01 seconds, sign 8
Translation time: 0.01 seconds, sign 8
Translation time: 0.01 seconds, sign 8
Translation time: 4.07 seconds, sign (9F)
Translation time: 0.01 seconds, sign (9F)
Translation time: 0.00 seconds, sign (9F)
Translation time: 3.31 seconds, sign a
Translation time: 0.01 seconds, sign a
Translation time: 0.01 seconds, sign a
Translation time: 6.00 seconds, sign b
Translation time: 0.01 seconds, sign b
Translation time: 0.01 seconds, sign b
Translation time: 0.00 seconds, sign b
Translation time: 5.94 seconds, sign hello
Translation time: 0.01 seconds, sign hello
Translation time: 0.00 seconds, sign hello
Translation time: 3.57 seconds, sign d
Translation time: 0.01 seconds, sign d
Translation time: 0.01 seconds, sign d
Translation time: 0.01 seconds, sign d
Translation time: 3.33 seconds, sign e
Translation time: 0.01 seconds, sign e
Translation time: 0.01 seconds, sign e
Translation time: 0.01 seconds, sign e
Translation time: 4.18 seconds, sign g
Translation time: 0.01 seconds, sign g
Translation time: 0.00 seconds, sign g
Translation time: 0.77 seconds, sign g
Translation time: 0.01 seconds, sign g
Translation time: 0.01 seconds, sign g
Translation time: 2.84 seconds, sign h
Translation time: 0.00 seconds, sign h
Translation time: 0.01 seconds, sign h
Translation time: 0.00 seconds, sign h
Translation time: 0.01 seconds, sign h
Translation time: 3.21 seconds, sign i
Translation time: 0.01 seconds, sign i
Translation time: 0.01 seconds, sign i
Translation time: 0.01 seconds, sign i
Translation time: 6.46 seconds, sign 0
Translation time: 0.01 seconds, sign 0
Translation time: 0.01 seconds, sign 0
Translation time: 0.00 seconds, sign 0
Translation time: 4.64 seconds, sign j
Translation time: 0.01 seconds, sign j
Translation time: 8.65 seconds, sign k
Translation time: 0.01 seconds, sign k
Translation time: 0.01 seconds, sign k
Translation time: 3.46 seconds, sign l
Translation time: 0.01 seconds, sign l
Translation time: 0.01 seconds, sign l
Translation time: 0.01 seconds, sign l
Translation time: 4.25 seconds, sign m
Translation time: 0.01 seconds, sign m
Translation time: 0.02 seconds, sign m
Translation time: 3.44 seconds, sign n
Translation time: 0.01 seconds, sign n
Translation time: 0.01 seconds, sign n
Translation time: 0.01 seconds, sign n
Translation time: 3.25 seconds, sign o
Translation time: 0.01 seconds, sign o
Translation time: 0.01 seconds, sign o
Translation time: 0.00 seconds, sign o
Translation time: 3.67 seconds, sign q
Translation time: 0.01 seconds, sign q
Translation time: 0.02 seconds, sign q
Translation time: 0.01 seconds, sign q
Translation time: 1.59 seconds, sign p
Translation time: 0.73 seconds, sign q
Translation time: 0.01 seconds, sign q
Translation time: 0.01 seconds, sign q
Translation time: 2.08 seconds, sign p
Translation time: 0.01 seconds, sign p
Translation time: 0.01 seconds, sign p
